form,lang,count,per_thousand,stopword
haast,nl,8,0.34,no
harte,nl,8,0.34,no
houdt,nl,8,0.34,no
hun,nl,8,0.34,no
ij,nl,8,0.34,no
into,nl,8,0.34,no
jan,nl,8,0.34,no
jules,nl,8,0.34,no
laatste,nl,8,0.34,no
lang,nl,8,0.34,no
les,nl,8,0.34,no
live,nl,8,0.34,no
mark,nl,8,0.34,no
millet,nl,8,0.34,no
morning,nl,8,0.34,no
moving,nl,8,0.34,no
niets,nl,8,0.34,no
once,nl,8,0.34,no
oude,nl,8,0.34,no
pas,nl,8,0.34,no
portrait,nl,8,0.34,no
prachtig,nl,8,0.34,no
really,nl,8,0.34,no
received,nl,8,0.34,no
sent,nl,8,0.34,no
slowly,nl,8,0.34,no
such,nl,8,0.34,no
there’s,nl,8,0.34,no
thijs,nl,8,0.34,no
thus,nl,8,0.34,no
until,nl,8,0.34,no
ver,nl,8,0.34,no
we’re,nl,8,0.34,no
weg,nl,8,0.34,no
wil,nl,8,0.34,no
wordt,nl,8,0.34,no
able,nl,7,0.298,no
above,nl,7,0.298,no
alle,nl,7,0.298,no
alleen,nl,7,0.298,no
autumn,nl,7,0.298,no
avond,nl,7,0.298,no
beginning,nl,7,0.298,no
behind,nl,7,0.298,no
being,nl,7,0.298,no
brother,nl,7,0.298,no
could,nl,7,0.298,no
dien,nl,7,0.298,no
doet,nl,7,0.298,no
elk,nl,7,0.298,no
elkaar,nl,7,0.298,no
eyes,nl,7,0.298,no
found,nl,7,0.298,no
gave,nl,7,0.298,no
gehoord,nl,7,0.298,no
great,nl,7,0.298,no
green,nl,7,0.298,no
h,nl,7,0.298,no
half,nl,7,0.298,no
haven’t,nl,7,0.298,no
hierbij,nl,7,0.298,no
holy,nl,7,0.298,no
hoogte,nl,7,0.298,no
however,nl,7,0.298,no
kamer,nl,7,0.298,no
keep,nl,7,0.298,no
kosthuis,nl,7,0.298,no
laatsten,nl,7,0.298,no
later,nl,7,0.298,no
leave,nl,7,0.298,no
loving,nl,7,0.298,no
mijne,nl,7,0.298,no
mind,nl,7,0.298,no
museums,nl,7,0.298,no
nemen,nl,7,0.298,no
news,nl,7,0.298,no
nice,nl,7,0.298,no
onze,nl,7,0.298,no
opportunity,nl,7,0.298,no
pleizier,nl,7,0.298,no
reading,nl,7,0.298,no
side,nl,7,0.298,no
simple,nl,7,0.298,no
sometime,nl,7,0.298,no
steeds,nl,7,0.298,no
sunday,nl,7,0.298,no
ten,nl,7,0.298,no
two,nl,7,0.298,no
waer,nl,7,0.298,no
we’ve,nl,7,0.298,no
whole,nl,7,0.298,no
work,nl,7,0.298,no
zeggen,nl,7,0.298,no
zijt,nl,7,0.298,no
zondag,nl,7,0.298,no
zonder,nl,7,0.298,no
zoo’n,nl,7,0.298,no
af,nl,6,0.255,no
album,nl,6,0.255,no
almost,nl,6,0.255,no
beers,nl,6,0.255,no
bertha,nl,6,0.255,no
betsy,nl,6,0.255,no
black,nl,6,0.255,no
bloemen,nl,6,0.255,no
boarding,nl,6,0.255,no
brabant,nl,6,0.255,no
broer,nl,6,0.255,no
called,nl,6,0.255,no
came,nl,6,0.255,no
can’t,nl,6,0.255,no
carbentus,nl,6,0.255,no
cent,nl,6,0.255,no
church,nl,6,0.255,no
city,nl,6,0.255,no
close,nl,6,0.255,no
cor,nl,6,0.255,no
corot,nl,6,0.255,no
daubigny,nl,6,0.255,no
dezen,nl,6,0.255,no
doe,nl,6,0.255,no
doubt,nl,6,0.255,no
eer,nl,6,0.255,no
eerste,nl,6,0.255,no
elle,nl,6,0.255,no
end,nl,6,0.255,no
enough,nl,6,0.255,no
eve,nl,6,0.255,no
feyen,nl,6,0.255,no
forward,nl,6,0.255,no
friends,nl,6,0.255,no
gekregen,nl,6,0.255,no
geleden,nl,6,0.255,no
golden,nl,6,0.255,no
grey,nl,6,0.255,no
hals,nl,6,0.255,no
he’s,nl,6,0.255,no
herewith,nl,6,0.255,no
hour,nl,6,0.255,no
jacquet,nl,6,0.255,no
john,nl,6,0.255,no
kom,nl,6,0.255,no
lagye,nl,6,0.255,no
land,nl,6,0.255,no
leven,nl,6,0.255,no
leys,nl,6,0.255,no
lezen,nl,6,0.255,no
liefh,nl,6,0.255,no
liking,nl,6,0.255,no
lodgings,nl,6,0.255,no
maandag,nl,6,0.255,no
monday,nl,6,0.255,no
moois,nl,6,0.255,no
music,nl,6,0.255,no
myself,nl,6,0.255,no
naer,nl,6,0.255,no
never,nl,6,0.255,no
nieuwsgierig,nl,6,0.255,no
obach,nl,6,0.255,no
office,nl,6,0.255,no
people,nl,6,0.255,no
per,nl,6,0.255,no
phot,nl,6,0.255,no
photo,nl,6,0.255,no
photogr,nl,6,0.255,no
portret,nl,6,0.255,no
prayer,nl,6,0.255,no
prettige,nl,6,0.255,no
put,nl,6,0.255,no
r,nl,6,0.255,no
rather,nl,6,0.255,no
rich,nl,6,0.255,no
roerloos,nl,6,0.255,no
sabbath,nl,6,0.255,no
schilder,nl,6,0.255,no
schilderij,nl,6,0.255,no
sign,nl,6,0.255,no
small,nl,6,0.255,no
soft,nl,6,0.255,no
sometimes,nl,6,0.255,no
sound,nl,6,0.255,no
splendid,nl,6,0.255,no
start,nl,6,0.255,no
stil,nl,6,0.255,no
sturen,nl,6,0.255,no
stuur,nl,6,0.255,no
summer,nl,6,0.255,no
sun,nl,6,0.255,no
terug,nl,6,0.255,no
thing,nl,6,0.255,no
through,nl,6,0.255,no
toe,nl,6,0.255,no
understand,nl,6,0.255,no
upon,nl,6,0.255,no
us,nl,6,0.255,no
verder,nl,6,0.255,no
verjaardag,nl,6,0.255,no
verlang,nl,6,0.255,no
vragen,nl,6,0.255,no
vrienden,nl,6,0.255,no
weissenbruch,nl,6,0.255,no
went,nl,6,0.255,no
whom,nl,6,0.255,no
wijl,nl,6,0.255,no
without,nl,6,0.255,no
woman,nl,6,0.255,no
wonen,nl,6,0.255,no
zaken,nl,6,0.255,no
zegt,nl,6,0.255,no
achter,nl,5,0.213,no
angelus,nl,5,0.213,no
around,nl,5,0.213,no
arrived,nl,5,0.213,no
ask,nl,5,0.213,no
asks,nl,5,0.213,no
beaux,nl,5,0.213,no
bijna,nl,5,0.213,no
birthday,nl,5,0.213,no
blijven,nl,5,0.213,no
boven,nl,5,0.213,no
business,nl,5,0.213,no
care,nl,5,0.213,no
caroline,nl,5,0.213,no
certainly,nl,5,0.213,no
clear,nl,5,0.213,no
daer,nl,5,0.213,no
dans,nl,5,0.213,no
didn’t,nl,5,0.213,no
different,nl,5,0.213,no
et,nl,5,0.213,no
fair,nl,5,0.213,no
familie,nl,5,0.213,no
fields,nl,5,0.213,no
fill,nl,5,0.213,no
finished,nl,5,0.213,no
gansch,nl,5,0.213,no
geheel,nl,5,0.213,no
gelezen,nl,5,0.213,no
gisteren,nl,5,0.213,no
got,nl,5,0.213,no
having,nl,5,0.213,no
heer,nl,5,0.213,no
heuvel,nl,5,0.213,no
including,nl,5,0.213,no
jet,nl,5,0.213,no
juli,nl,5,0.213,no
july,nl,5,0.213,no
kent,nl,5,0.213,no
kind,nl,5,0.213,no
langer,nl,5,0.213,no
least,nl,5,0.213,no
leaves,nl,5,0.213,no
less,nl,5,0.213,no
longer,nl,5,0.213,no
look,nl,5,0.213,no
maakt,nl,5,0.213,no
mei,nl,5,0.213,no
mist,nl,5,0.213,no
mogelijk,nl,5,0.213,no
morgen,nl,5,0.213,no
na,nl,5,0.213,no
nature,nl,5,0.213,no
natuur,nl,5,0.213,no
need,nl,5,0.213,no
nen,nl,5,0.213,no
next,nl,5,0.213,no
nieuwe,nl,5,0.213,no
north,nl,5,0.213,no
nothing,nl,5,0.213,no
o.a,nl,5,0.213,no
ones,nl,5,0.213,no
paar,nl,5,0.213,no
painter,nl,5,0.213,no
pair,nl,5,0.213,no
photos,nl,5,0.213,no
plaats,nl,5,0.213,no
place,nl,5,0.213,no
poor,nl,5,0.213,no
possible,nl,5,0.213,no
prachtige,nl,5,0.213,no
school,nl,5,0.213,no
schreef,nl,5,0.213,no
sea,nl,5,0.213,no
she’s,nl,5,0.213,no
soms,nl,5,0.213,no
sorry,nl,5,0.213,no
soul,nl,5,0.213,no
spreken,nl,5,0.213,no
stad,nl,5,0.213,no
stay,nl,5,0.213,no
streets,nl,5,0.213,no
surely,nl,5,0.213,no
tegenwoordig,nl,5,0.213,no
ter,nl,5,0.213,no
these,nl,5,0.213,no
toegewenscht,nl,5,0.213,no
toen,nl,5,0.213,no
together,nl,5,0.213,no
vergeet,nl,5,0.213,no
verlangend,nl,5,0.213,no
vertel,nl,5,0.213,no
vindt,nl,5,0.213,no
waarvan,nl,5,0.213,no
walking,nl,5,0.213,no
wezen,nl,5,0.213,no
wien,nl,5,0.213,no
yesterday,nl,5,0.213,no
zelf,nl,5,0.213,no
zelfde,nl,5,0.213,no
zie,nl,5,0.213,no
zorgen,nl,5,0.213,no
afar,nl,4,0.17,no
against,nl,4,0.17,no
air,nl,4,0.17,no
anker,nl,4,0.17,no
arts,nl,4,0.17,no
aug,nl,4,0.17,no
ave,nl,4,0.17,no
aye,nl,4,0.17,no
baen,nl,4,0.17,no
beiden,nl,4,0.17,no
below,nl,4,0.17,no
beneath,nl,4,0.17,no
bepaald,nl,4,0.17,no
besteed,nl,4,0.17,no
between,nl,4,0.17,no
bless,nl,4,0.17,no
blijft,nl,4,0.17,no
boer,nl,4,0.17,no
bright,nl,4,0.17,no
buiten,nl,4,0.17,no
carolien,nl,4,0.17,no
case,nl,4,0.17,no
change,nl,4,0.17,no
chin,nl,4,0.17,no
clouds,nl,4,0.17,no
coming,nl,4,0.17,no
convivial,nl,4,0.17,no
cow,nl,4,0.17,no
daisies,nl,4,0.17,no
dame,nl,4,0.17,no
deal,nl,4,0.17,no
deze,nl,4,0.17,no
diaz,nl,4,0.17,no
dingen,nl,4,0.17,no
dorpken,nl,4,0.17,no
drawing,nl,4,0.17,no
drowsy,nl,4,0.17,no
duitschers,nl,4,0.17,no
dupré,nl,4,0.17,no
dyck,nl,4,0.17,no
earliest,nl,4,0.17,no
eenigen,nl,4,0.17,no
emile,nl,4,0.17,no
engelsche,nl,4,0.17,no
engravings,nl,4,0.17,no
erg,nl,4,0.17,no
eugène,nl,4,0.17,no
everywhere,nl,4,0.17,no
f,nl,4,0.17,no
fall,nl,4,0.17,no
far,nl,4,0.17,no
farmer,nl,4,0.17,no
feel,nl,4,0.17,no
field,nl,4,0.17,no
folk,nl,4,0.17,no
foot,nl,4,0.17,no
frans,nl,4,0.17,no
fruit,nl,4,0.17,no
garden,nl,4,0.17,no
gazette,nl,4,0.17,no
gedaan,nl,4,0.17,no
genoeg,nl,4,0.17,no
genre,nl,4,0.17,no
gently,nl,4,0.17,no
george,nl,4,0.17,no
germans,nl,4,0.17,no
girl,nl,4,0.17,no
gloom,nl,4,0.17,no
gravures,nl,4,0.17,no
haer,nl,4,0.17,no
hang,nl,4,0.17,no
hangen,nl,4,0.17,no
haste,nl,4,0.17,no
he’ll,nl,4,0.17,no
head,nl,4,0.17,no
heads,nl,4,0.17,no
heart,nl,4,0.17,no
heaven,nl,4,0.17,no
hedge,nl,4,0.17,no
heuvels,nl,4,0.17,no
hills,nl,4,0.17,no
hoofd,nl,4,0.17,no
hoor,nl,4,0.17,no
hoorde,nl,4,0.17,no
houden,nl,4,0.17,no
hr,nl,4,0.17,no
iederen,nl,4,0.17,no
indeed,nl,4,0.17,no
j,nl,4,0.17,no
jacque,nl,4,0.17,no
juist,nl,4,0.17,no
jundt,nl,4,0.17,no
k,nl,4,0.17,no
kans,nl,4,0.17,no
keats,nl,4,0.17,no
ken,nl,4,0.17,no
kennen,nl,4,0.17,no
klonk,nl,4,0.17,no
lag,nl,4,0.17,no
landscape,nl,4,0.17,no
langzaem,nl,4,0.17,no
lees,nl,4,0.17,no
left,nl,4,0.17,no
legend,nl,4,0.17,no
let,nl,4,0.17,no
lieflijk,nl,4,0.17,no
linder,nl,4,0.17,no
ll,nl,4,0.17,no
load,nl,4,0.17,no
loof,nl,4,0.17,no
loud,nl,4,0.17,no
louvre,nl,4,0.17,no
love,nl,4,0.17,no
ma,nl,4,0.17,no
maart,nl,4,0.17,no
made,nl,4,0.17,no
mais,nl,4,0.17,no
maison,nl,4,0.17,no
makes,nl,4,0.17,no
march,nl,4,0.17,no
mede,nl,4,0.17,no
messrs,nl,4,0.17,no
mice,nl,4,0.17,no
miles,nl,4,0.17,no
millais,nl,4,0.17,no
minster,nl,4,0.17,no
most,nl,4,0.17,no
motionless,nl,4,0.17,no
museum,nl,4,0.17,no
nieuws,nl,4,0.17,no
noodig,nl,4,0.17,no
nouveautés,nl,4,0.17,no
nov,nl,4,0.17,no
oct,nl,4,0.17,no
onder,nl,4,0.17,no
opgegeven,nl,4,0.17,no
otto,nl,4,0.17,no
overal,nl,4,0.17,no
painted,nl,4,0.17,no
part,nl,4,0.17,no
path,nl,4,0.17,no
photographs,nl,4,0.17,no
piano,nl,4,0.17,no
pious,nl,4,0.17,no
ploeg,nl,4,0.17,no
plough,nl,4,0.17,no
pour,nl,4,0.17,no
qui,nl,4,0.17,no
refreshing,nl,4,0.17,no
returns,nl,4,0.17,no
reynolds,nl,4,0.17,no
rijk,nl,4,0.17,no
road,nl,4,0.17,no
roerende,nl,4,0.17,no
round,nl,4,0.17,no
saal,nl,4,0.17,no
saint,nl,4,0.17,no
scene,nl,4,0.17,no
scheffer,nl,4,0.17,no
seeing,nl,4,0.17,no
shadow,nl,4,0.17,no
shelter’d,nl,4,0.17,no
should,nl,4,0.17,no
sincerely,nl,4,0.17,no
sinking,nl,4,0.17,no
size,nl,4,0.17,no
solemn,nl,4,0.17,no
southampton,nl,4,0.17,no
spent,nl,4,0.17,no
spring,nl,4,0.17,no
square,nl,4,0.17,no
st,nl,4,0.17,no
standish,nl,4,0.17,no
station,nl,4,0.17,no
stockum,nl,4,0.17,no
strand,nl,4,0.17,no
street,nl,4,0.17,no
suddenly,nl,4,0.17,no
t’huis,nl,4,0.17,no
taken,nl,4,0.17,no
tall,nl,4,0.17,no
tegen,nl,4,0.17,no
thank,nl,4,0.17,no
told,nl,4,0.17,no
tower,nl,4,0.17,no
traeg,nl,4,0.17,no
tried,nl,4,0.17,no
trippenhuis,nl,4,0.17,no
true,nl,4,0.17,no
twas,nl,4,0.17,no
twice,nl,4,0.17,no
une,nl,4,0.17,no
untired,nl,4,0.17,no
v.w,nl,4,0.17,no
veld,nl,4,0.17,no
ven,nl,4,0.17,no
verkocht,nl,4,0.17,no
visit,nl,4,0.17,no
vlak,nl,4,0.17,no
vol,nl,4,0.17,no
waarschijnlijk,nl,4,0.17,no
wagen,nl,4,0.17,no
wagon,nl,4,0.17,no
wandelen,nl,4,0.17,no
waren,nl,4,0.17,no
wauters,nl,4,0.17,no
weather,nl,4,0.17,no
weber,nl,4,0.17,no
werk,nl,4,0.17,no
west,nl,4,0.17,no
westen,nl,4,0.17,no
whose,nl,4,0.17,no
wind,nl,4,0.17,no
window,nl,4,0.17,no
winkel,nl,4,0.17,no
winter,nl,4,0.17,no
written,nl,4,0.17,no
wrote,nl,4,0.17,no
ziele,nl,4,0.17,no
ziem,nl,4,0.17,no
zijde,nl,4,0.17,no
zomer,nl,4,0.17,no
zon,nl,4,0.17,no
aangaande,nl,3,0.128,no
acquaintance,nl,3,0.128,no
address,nl,3,0.128,no
adres,nl,3,0.128,no
age,nl,3,0.128,no
allerlei,nl,3,0.128,no
anderen,nl,3,0.128,no
