form,lang,count,per_thousand,stopword
uocabulo,grc,3,0.21,no
uocalem,grc,3,0.21,no
uocis,grc,3,0.21,no
¢quibusdam,grc,2,0.14,no
¢quilibet,grc,2,0.14,no
¢quinq;que,grc,2,0.14,no
¢quinquies,grc,2,0.14,no
¢quintæ,grc,2,0.14,no
abl¯ablatiuo,grc,2,0.14,no
ablatiuo,grc,2,0.14,no
absoluta,grc,2,0.14,no
absolute,grc,2,0.14,no
abstulerunt,grc,2,0.14,no
ac,grc,2,0.14,no
accentu,grc,2,0.14,no
accentu2um,grc,2,0.14,no
accepit,grc,2,0.14,no
accipere,grc,2,0.14,no
accipi,grc,2,0.14,no
accipiatur,grc,2,0.14,no
accipitur,grc,2,0.14,no
accipiunt,grc,2,0.14,no
accipiuntur,grc,2,0.14,no
acer,grc,2,0.14,no
acris,grc,2,0.14,no
actus,grc,2,0.14,no
aculeus,grc,2,0.14,no
additis,grc,2,0.14,no
adeo,grc,2,0.14,no
adiecta,grc,2,0.14,no
adiectiuis,grc,2,0.14,no
adiungitur,grc,2,0.14,no
aduerbii,grc,2,0.14,no
aduerbioru2um,grc,2,0.14,no
æneades,grc,2,0.14,no
