form,lang,count,per_thousand,stopword
νύκτας,grc,18,0.206,no
οἴκαδε,grc,18,0.206,no
οἶκόνδε,grc,18,0.206,no
ὀξὺ,grc,18,0.206,no
ὅσσοι,grc,18,0.206,no
πάλιν,grc,18,0.206,no
πάντʼ,grc,18,0.206,no
προσέειπον,grc,18,0.206,no
πώ,grc,18,0.206,no
τοιαῦτα,grc,18,0.206,no
τόσσον,grc,18,0.206,no
τρώων,grc,18,0.206,no
φίλα,grc,18,0.206,no
φρένα,grc,18,0.206,no
ἀθάνατοι,grc,17,0.195,no
αἰεί,grc,17,0.195,no
ἄλλοθεν,grc,17,0.195,no
ἀμφίπολοι,grc,17,0.195,no
αὖθι,grc,17,0.195,no
αὐτὴν,grc,17,0.195,no
ἐλθόντες,grc,17,0.195,no
ἐνοσίχθων,grc,17,0.195,no
ἑξείης,grc,17,0.195,no
ἔπι,grc,17,0.195,no
ἥν,grc,17,0.195,no
ἧς,grc,17,0.195,no
ἠῶ,grc,17,0.195,no
θανάτοιο,grc,17,0.195,no
κεφαλῆς,grc,17,0.195,no
κούρῃ,grc,17,0.195,no
κρέα,grc,17,0.195,no
μηδέ,grc,17,0.195,no
μνηστῆρσι,grc,17,0.195,no
μύθῳ,grc,17,0.195,no
οἶον,grc,17,0.195,no
οἷος,grc,17,0.195,no
ὅσσον,grc,17,0.195,no
ὅτι,grc,17,0.195,no
οὕτως,grc,17,0.195,no
πάμπαν,grc,17,0.195,no
πίονα,grc,17,0.195,no
προτὶ,grc,17,0.195,no
τοῦτον,grc,17,0.195,no
φαίηκες,grc,17,0.195,no
φᾶρος,grc,17,0.195,no
φέρουσα,grc,17,0.195,no
φώνησέν,grc,17,0.195,no
χιτῶνα,grc,17,0.195,no
χιτῶνά,grc,17,0.195,no
χλαῖναν,grc,17,0.195,no
ὧδʼ,grc,17,0.195,no
ἀγλαὰ,grc,16,0.184,no
ἄγων,grc,16,0.184,no
ἀθανάτοισιν,grc,16,0.184,no
ἄνδρας,grc,16,0.184,no
ἀνέρες,grc,16,0.184,no
ἄφαρ,grc,16,0.184,no
ἀχαιούς,grc,16,0.184,no
βοῦς,grc,16,0.184,no
γυνὴ,grc,16,0.184,no
διός,grc,16,0.184,no
δύο,grc,16,0.184,no
δῶ,grc,16,0.184,no
δώσω,grc,16,0.184,no
ἐγένοντο,grc,16,0.184,no
ἐθέλεις,grc,16,0.184,no
εἰν,grc,16,0.184,no
ἐνδυκέως,grc,16,0.184,no
ἐστὶν,grc,16,0.184,no
ἑταίρων,grc,16,0.184,no
ἑτάροισι,grc,16,0.184,no
εὐρύκλεια,grc,16,0.184,no
ἔφη,grc,16,0.184,no
ἐών,grc,16,0.184,no
θεοί,grc,16,0.184,no
θοῶς,grc,16,0.184,no
ἵκηται,grc,16,0.184,no
ἴλιον,grc,16,0.184,no
κῆρα,grc,16,0.184,no
κοῦροι,grc,16,0.184,no
μέγαρον,grc,16,0.184,no
μῦθος,grc,16,0.184,no
ὀδυσῆϊ,grc,16,0.184,no
ὀνόμαζεν,grc,16,0.184,no
ὅρκον,grc,16,0.184,no
οὐδὸν,grc,16,0.184,no
παιδὸς,grc,16,0.184,no
πάντεσσι,grc,16,0.184,no
πάρα,grc,16,0.184,no
πέρ,grc,16,0.184,no
πῆμα,grc,16,0.184,no
πολλά,grc,16,0.184,no
πολὺν,grc,16,0.184,no
σὸν,grc,16,0.184,no
σπέος,grc,16,0.184,no
στήθεσσιν,grc,16,0.184,no
σχεδὸν,grc,16,0.184,no
ταμίη,grc,16,0.184,no
τρὶς,grc,16,0.184,no
ὑμεῖς,grc,16,0.184,no
φέρε,grc,16,0.184,no
φίλʼ,grc,16,0.184,no
ἅ,grc,15,0.172,no
ἀγήνωρ,grc,15,0.172,no
ἀγορήσατο,grc,15,0.172,no
αἶγας,grc,15,0.172,no
αἰγιόχοιο,grc,15,0.172,no
αἰγῶν,grc,15,0.172,no
ἄλλʼ,grc,15,0.172,no
ἄλλαι,grc,15,0.172,no
ἀνά,grc,15,0.172,no
ἀνδράσι,grc,15,0.172,no
ἀπόλλων,grc,15,0.172,no
ἂρ,grc,15,0.172,no
γυναῖκα,grc,15,0.172,no
ἔβαν,grc,15,0.172,no
ἔδωκε,grc,15,0.172,no
εἰσιν,grc,15,0.172,no
ἐμόν,grc,15,0.172,no
ἐμὸς,grc,15,0.172,no
ἕντο,grc,15,0.172,no
ἑὸν,grc,15,0.172,no
ἔρον,grc,15,0.172,no
ἔσκε,grc,15,0.172,no
εὐρύμαχος,grc,15,0.172,no
ἔχον,grc,15,0.172,no
ἠέ,grc,15,0.172,no
ἦε,grc,15,0.172,no
ἤλυθεν,grc,15,0.172,no
θάλαμον,grc,15,0.172,no
θῖνα,grc,15,0.172,no
ἰθάκῃ,grc,15,0.172,no
καθῖζον,grc,15,0.172,no
κείνου,grc,15,0.172,no
κιὼν,grc,15,0.172,no
κτήματα,grc,15,0.172,no
μεγαλήτορος,grc,15,0.172,no
μέθυ,grc,15,0.172,no
νέοι,grc,15,0.172,no
νεὸς,grc,15,0.172,no
νηῶν,grc,15,0.172,no
