register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
critical,ldlt-balex:0.1.1.0.65.0.1,commode geri,commoda egeri,T V,,,,,false
critical,ldlt-balex:0.1.1.0.65.0.2,orirentur,orirentur,S V,,,,,true
critical,ldlt-balex:0.1.1.0.65.0.2,orirentur,orerentur,M U T,,,,,false
critical,ldlt-balex:0.1.1.0.65.0.3,indiligentia,indiligentia,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.65.0.3,indiligentia,indulgentia,stigma,,,,,false
critical,ldlt-balex:0.1.1.0.65.1.0,Haec,Haec,,,,,,true
critical,ldlt-balex:0.1.1.0.65.1.0,Haec,(h)eae,M U S,,,,,false
critical,ldlt-balex:0.1.1.0.65.1.0,Haec,hae,T V,,,,,false
critical,ldlt-balex:0.1.1.0.65.3.0,uiritim,uiritim,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.65.3.0,uiritim,priuatim,,Schneider,,,,false
critical,ldlt-balex:0.1.1.0.65.3.1,finitimos,finitimos,,Oudendorp,,,,true
critical,ldlt-balex:0.1.1.0.65.3.1,finitimos,finitimosque,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.65.3.2,concurrerant,concurrerant,U S T,,,,,true
critical,ldlt-balex:0.1.1.0.65.3.2,concurrerant,concurrerint,V,,,,,false
critical,ldlt-balex:0.1.1.0.65.3.2,concurrerant,cucurrerant,M,,,,,false
critical,ldlt-balex:0.1.1.0.65.3.3,populo Romano,populo Romano,U S T,,,,,true
critical,ldlt-balex:0.1.1.0.65.3.3,populo Romano,rei publicae,M,,,,,false
critical,ldlt-balex:0.1.1.0.65.3.3,populo Romano,publicae rei,V,,,,,false
critical,ldlt-balex:0.1.1.0.66.0.0,legionibus,legionibus,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.66.0.0,legionibus,legioni,,Domaszewski,,,,false
critical,ldlt-balex:0.1.1.0.66.0.0,legionibus,"legioni
                           XXXVIII",,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.66.0.1,praefecit,praefecit,Mac U T V,,,,,true
critical,ldlt-balex:0.1.1.0.66.0.1,praefecit,praeficit,Mc S,,,,,false
critical,ldlt-balex:0.1.1.0.66.1.0,fortissimumque,fortissimumque,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.66.1.0,fortissimumque,fertilissimumque,,Schneider,,,,false
critical,ldlt-balex:0.1.1.0.66.1.0,fortissimumque,florentissimumque,,Müller,,,,false
critical,ldlt-balex:0.1.1.0.66.2.0,cupiditate,cupiditate,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.66.2.0,cupiditate,cupiditatem,,Schiller1889,,,,false
critical,ldlt-balex:0.1.1.0.66.2.2,Comana,Comana,,Kübler1896a,,,,true
critical,ldlt-balex:0.1.1.0.66.2.2,Comana,Comana,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.66.2.2,Comana,uenit Comana,stigma,,,,,false
critical,ldlt-balex:0.1.1.0.66.2.2,Comana,Comana uenit,,Nipperdey,,,,false
critical,ldlt-balex:0.1.1.0.66.2.2,Comana,Comana ut confirmarentur et,,Damon,,,,false
critical,ldlt-balex:0.1.1.0.66.2.2,Comana,"Comana cum dissensionibus essent confecta et
                              repeteretur",,Damon,,,,false
